的	943370349
了	255733044
在	197672850
是	171296602
我	169391220
和	118878434
有	94271573
你	88487705
个	87859759
也	77259249
这	73252887
不	70153387
他	67051085
上	66509925
人	65506298
中	65460099
就	65012716
年	59830333
为	57419345
对	56546971
说	52966771
都	52527496
要	50753034
到	50645570
着	45143802
~	44057380
与	43497840
将	43057397
日	42260866
我们	41787606
好	41528330
月	40981378
会	40026863
大	38361973
来	37970033
还	37384723
等	36263392
而	35787779
地	35624818
自己	34157718
后	33767571
两	32745515
-	31974923
被	30434636
没有	30405623
去	30059353
但	29614263
从	29106991
很	29046232
给	28952371
时	28073337
以	27963704
中国	27811293
元	27576670
看	27275620
啊	26905491
下	26737542
她	26689468
又	26669137
可以	25881411
把	25511304
这个	24376948
能	23909882
他们	23760910
做	23494662
出	23324245
得	22420955
让	21971231
想	21944953
那	21808185
新	21776749
发展	21271128
过	21257943
就是	21108063
之	20702277
小	20674943
用	20512801
天	20457907
工作	19699227
进行	19659691
记者	19653989
里	19397088
最	19077013
并	19061803
前	18590729
公司	18463472
已经	18453164
问题	18326876
!	18282083
企业	18094727
家	17971399
吧	17812571
什么	17796936
没	17613557
次	17518177
可	17369621
其	16606563
现在	16365880
向	16135014
于	16032510
真	16020066
这样	15966815
已	15757995
该	15641284
市场	15562471
本	15546838
名	15519462
太	15451106
再	15399566
所	15084080
因为	15060912
种	14993403
不是	14890823
时间	14785440
还是	14614773
位	14523517
比	14464951
内	14386353
如果	14358816
及	14225879
更	14182556
道	13776897
爱	13772657
却	13636799
国家	13546984
经济	13362290
高	13289918
手	13266506
开始	13244622
或	13198499
吃	12987492
时候	12888353
由	12849824
呢	12641044
只	12513893
目前	12499652
今天	12378709
它	12176287
活动	12157387
分	11826179
使	11626156
管理	11583904
一些	11583138
起	11487882
通过	11389239
这些	11378382
才	11164766
市	11152653
美国	11143597
大家	11129890
但是	11099202
吗	10975592
走	10925488
可能	10924987
社会	10910170
表示	10779896
据	10733608
情况	10685076
——	10665707
都是	10663292
需要	10639969
不能	10492118
生活	10428809
当	10365360
认为	10290693
各	10270046
同时	10226733
建设	10214422
成	10176702
打	10141725
发现	10125489
几	10023845
网	10013950
事	9941650
世界	9936800
政府	9908944
重要	9812054
这种	9795387
成为	9782775
看到	9724548
今年	9714475
技术	9689523
喜欢	9589721
还有	9517905
产品	9469054
无	9430962
～	9378195
知道	9354835
主要	9304580
出现	9270103
机	9269422
至	9214980
一定	9214184
车	9131035
要求	9010117
由于	8959841
所以	8908397
心	8813238
长	8800220
方面	8766166
跟	8722894
怎么	8708842
话	8663934
希望	8644589
生产	8624503
外	8587903
谁	8548190
北京	8540275
你们	8527633
见	8490843
找	8427695
一起	8424127
影响	8415501
像	8411623
带	8410064
国际	8397493
价格	8354002
啦	8307871
比赛	8302273
投资	8299582
如	8284190
那么	8243125
研究	8217927
岁	8215534
美	8175894
则	8161904
水	8153040
起来	8059704
快	8057227
非常	8056541
一直	8013106
不会	8010572
应该	8001472
买	7979402
开	7960803
觉得	7959167
部门	7954820
为了	7905822
发生	7898301
作为	7885316
提高	7871020
这么	7829309
不要	7793782
博	7730422
部	7718766
场	7657555
股	7656373
其中	7646781
服务	7624405
不过	7607718
死	7572512
虽然	7553479
以及	7517422
有关	7502466
报	7497313
结果	7472633
对于	7464227
教育	7453071
号	7363824
笑	7352124
组织	7333852
只有	7327973
城市	7295150
很多	7245918
人员	7206692
而且	7200892
作	7189397
条	7169519
必须	7163797
发	7143812
微	7121151
其他	7091107
叫	7079928
最后	7078430
同	7036037
提供	7033899
只是	7002717
不同	6966512
项目	6927688
因此	6921030
学生	6886521
支持	6876120
使用	6848802
哈哈	6846983
之后	6832942
应	6782004
上海	6771215
参加	6771133
钱	6768858
请	6760332
自	6757888
问	6740338
继续	6723217
老	6717974
文化	6715704
组	6693387
全国	6692428
孩子	6681697
得到	6635451
比较	6575380
人民	6572220
关系	6551882
省	6536068
获得	6533482
听	6519997
图	6477513
总	6443030
回	6341453
我国	6316190
哦	6312883
出来	6185846
张	6157733
增加	6147337
能力	6106359
选择	6105589
增长	6090615
进入	6077234
区	6058071
例	6020041
一样	6001838
了解	5990965
所有	5983705
因	5965157
系统	5961138
女	5946513
根据	5937666
一下	5932374
地方	5926648
报道	5923009
周	5920956
电	5915529
每	5904552
米	5878861
身	5878144
其实	5839402
规定	5834718
款	5828063
东西	5827002
路	5824732
正在	5824702
此	5824450
这里	5812931
项	5810813
未	5801122
放	5784906
方式	5778858
作用	5764545
美元	5711642
解决	5703943
受	5687973
住	5674865
头	5670592
关注	5652031
感觉	5647041
包括	5637645
转	5637088
领导	5632400
日本	5623255
实现	5613547
安全	5588869
学习	5570557
能够	5559134
超	5557574
称	5556949
达到	5548520
别	5547188
完成	5542752
双	5535180
以上	5528952
全	5527100
先	5527005
加	5526163
入	5523397
件	5517461
过程	5506342
连	5495219
政策	5486640
正	5486379
占	5480031
行	5478924
环境	5471225
信息	5460184
设计	5452273
存在	5444212
开发	5441261
具有	5430585
到了	5417555
中心	5392545
信	5386015
强	5385400
事情	5385352
低	5383247
决定	5371473
朋友	5331707
均	5327272
标准	5308396
－	5304843
去年	5301941
那个	5296183
有些	5287025
;	5285021
便	5274816
方法	5272124
部分	5271870
个人	5264294
然后	5260934
会议	5237094
提出	5231822
面	5188966
昨天	5187383
之间	5182775
合作	5169374
各种	5164375
学校	5160143
方	5144385
么	5139471
成功	5131252
水平	5128312
代表	5124716
达	5111805
以后	5109594
介绍	5100620
单位	5081637
处	5080805
随	5074097
声	5062333
片	5059940
系	5052225
队	5050937
计划	5045972
表现	5040771
机构	5034523
告诉	5024560
资金	5005907
过去	4956320
